Reading	X	Y	Z	L*	a*	b*	380.000	383.333	386.667	390.000	393.333	396.667	400.000	403.333	406.667	410.000	413.333	416.667	420.000	423.333	426.667	430.000	433.333	436.667	440.000	443.333	446.667	450.000	453.333	456.667	460.000	463.333	466.667	470.000	473.333	476.667	480.000	483.333	486.667	490.000	493.333	496.667	500.000	503.333	506.667	510.000	513.333	516.667	520.000	523.333	526.667	530.000	533.333	536.667	540.000	543.333	546.667	550.000	553.333	556.667	560.000	563.333	566.667	570.000	573.333	576.667	580.000	583.333	586.667	590.000	593.333	596.667	600.000	603.333	606.667	610.000	613.333	616.667	620.000	623.333	626.667	630.000	633.333	636.667	640.000	643.333	646.667	650.000	653.333	656.667	660.000	663.333	666.667	670.000	673.333	676.667	680.000	683.333	686.667	690.000	693.333	696.667	700.000	703.333	706.667	710.000	713.333	716.667	720.000	723.333	726.667	730.000
2	0.183685	0.182168	0.149141	1.645520	0.324562	0.021349	-0.106949	-0.106949	-0.106949	-0.106949	-0.106949	-0.106949	-0.106949	-0.10723	-0.10749	-0.107681	-0.107755	-0.107974	-0.108587	0.0275483	0.106497	0.14092	0.180922	0.199362	0.208473	0.209761	0.209671	0.207092	0.204386	0.207293	0.212919	0.2092	0.208117	0.208781	0.208775	0.201385	0.201626	0.209345	0.193664	0.182317	0.185577	0.185453	0.18062	0.175451	0.178972	0.175176	0.171049	0.168394	0.166412	0.164995	0.1643	0.164256	0.163007	0.159407	0.156604	0.157628	0.15806	0.159029	0.162756	0.163114	0.165866	0.175731	0.185955	0.192279	0.197033	0.200452	0.205701	0.206864	0.208255	0.213558	0.216413	0.213561	0.206609	0.203837	0.20406	0.205486	0.203939	0.198957	0.192169	0.188616	0.18359	0.181559	0.184205	0.186199	0.187377	0.177119	0.174109	0.185801	0.189982	0.182674	0.187026	0.197694	0.188415	0.181913	0.192436	0.20623	0.186192	0.186408	0.203564	0.219657	0.228902	0.240272	0.247657	0.246054	0.25853	0.288183	0.27468	0.281301	0.315833	0.357768	0.349506	0.379342
3	0.185581	0.184557	0.151998	1.667099	0.308123	0.004620	-0.132711	-0.132711	-0.132711	-0.132711	-0.132711	-0.132711	-0.132711	-0.133025	-0.133312	-0.133513	-0.133567	-0.133799	-0.134518	0.0479719	0.111264	0.147011	0.182534	0.201548	0.209507	0.209665	0.210814	0.210001	0.206576	0.211683	0.218383	0.21573	0.216223	0.217523	0.218416	0.214601	0.203989	0.207509	0.202642	0.198064	0.192617	0.185576	0.182878	0.178553	0.180383	0.178999	0.176195	0.174354	0.167711	0.162083	0.166832	0.168402	0.16552	0.162225	0.159677	0.158324	0.157041	0.161325	0.164816	0.165387	0.169366	0.178067	0.188166	0.197002	0.197281	0.201947	0.207498	0.211403	0.214462	0.216951	0.216969	0.213358	0.210091	0.207907	0.204594	0.204128	0.206633	0.200121	0.193141	0.189346	0.18562	0.184375	0.189352	0.186825	0.186223	0.184159	0.177563	0.18063	0.186381	0.185128	0.183499	0.186179	0.178708	0.177291	0.178284	0.182907	0.194007	0.19691	0.208971	0.226326	0.233754	0.233592	0.243919	0.269133	0.267187	0.272268	0.304891	0.343584	0.328816	0.331189	0.391074	0.43358
4	0.185546	0.185224	0.148670	1.673125	0.280722	0.077836	-0.136356	-0.136356	-0.136356	-0.136356	-0.136356	-0.136356	-0.136356	-0.136673	-0.136963	-0.137164	-0.137214	-0.137447	-0.138183	0.0246224	0.094708	0.139959	0.171597	0.190493	0.202009	0.206132	0.207538	0.211219	0.209316	0.210671	0.213661	0.209592	0.20766	0.212926	0.209553	0.211996	0.212117	0.207905	0.200957	0.2017	0.199039	0.189248	0.186263	0.182166	0.181261	0.173831	0.17125	0.169752	0.168515	0.168547	0.170018	0.167537	0.164365	0.161568	0.158631	0.16002	0.160982	0.162111	0.16323	0.168198	0.173943	0.181372	0.186771	0.194689	0.20072	0.203582	0.207288	0.210714	0.213221	0.216248	0.216467	0.214661	0.213137	0.209027	0.207303	0.208731	0.206585	0.199381	0.193663	0.18965	0.187811	0.186243	0.185147	0.187756	0.188254	0.183209	0.186304	0.190578	0.190466	0.18216	0.172131	0.167764	0.16944	0.167788	0.176713	0.187354	0.193083	0.195286	0.193963	0.20909	0.230627	0.231615	0.257212	0.269367	0.247787	0.258656	0.304035	0.303905	0.347247	0.388539	0.424435	0.438506
5	0.190797	0.191021	0.151341	1.725486	0.267095	0.117685	-0.150269	-0.150269	-0.150269	-0.150269	-0.150269	-0.150269	-0.150269	-0.150607	-0.150914	-0.151123	-0.151166	-0.15141	-0.15221	0.00317649	0.106717	0.153068	0.178655	0.196599	0.204915	0.210406	0.212201	0.213193	0.212298	0.211525	0.215204	0.215107	0.217109	0.217817	0.214211	0.211287	0.213956	0.215313	0.207275	0.199701	0.196344	0.195596	0.195074	0.192674	0.184686	0.183408	0.18318	0.177847	0.172927	0.172988	0.178644	0.178525	0.171227	0.165397	0.162846	0.161132	0.163349	0.166134	0.16786	0.172807	0.178528	0.185728	0.193293	0.201605	0.206958	0.208579	0.212895	0.217895	0.222578	0.226466	0.228583	0.224222	0.217461	0.214023	0.213757	0.210883	0.207567	0.208608	0.20381	0.195123	0.186979	0.188076	0.189351	0.191003	0.186253	0.183231	0.188023	0.194882	0.198037	0.19421	0.18104	0.173273	0.185545	0.195502	0.195692	0.195665	0.197498	0.20793	0.220207	0.217741	0.242977	0.275093	0.295857	0.265761	0.280946	0.322809	0.304972	0.301821	0.33065	0.365243	0.388364	0.371265
6	0.193938	0.194958	0.158557	1.761051	0.240599	0.042762	-0.11097	-0.11097	-0.11097	-0.11097	-0.11097	-0.11097	-0.11097	-0.111266	-0.11154	-0.111743	-0.111823	-0.112054	-0.112694	0.0400972	0.143612	0.163563	0.179699	0.197555	0.20982	0.215243	0.216941	0.216733	0.21536	0.215843	0.222064	0.219676	0.220593	0.221837	0.222813	0.220696	0.222357	0.228508	0.223274	0.218114	0.215401	0.204059	0.193893	0.19115	0.190928	0.191291	0.187979	0.184456	0.181735	0.176524	0.179834	0.182591	0.177317	0.171069	0.166166	0.168291	0.169114	0.170131	0.171906	0.175341	0.18306	0.1906	0.198955	0.207638	0.210803	0.213026	0.217861	0.222144	0.224874	0.225068	0.225516	0.219807	0.214866	0.215828	0.215546	0.2127	0.211056	0.205073	0.197067	0.194216	0.196335	0.202209	0.201967	0.193383	0.186616	0.184784	0.188313	0.195238	0.197365	0.192749	0.189933	0.186417	0.1745	0.175363	0.194158	0.209385	0.213336	0.22202	0.22985	0.258792	0.268109	0.248658	0.235078	0.258483	0.272171	0.27995	0.275472	0.267431	0.317236	0.359649	0.370065	0.365884
7	0.199114	0.201305	0.159335	1.818384	0.202498	0.126923	-0.129507	-0.129507	-0.129507	-0.129507	-0.129507	-0.129507	-0.129507	-0.129829	-0.130125	-0.130336	-0.130406	-0.13065	-0.131376	-0.0147907	0.0958369	0.159326	0.179701	0.204056	0.216149	0.217191	0.218799	0.219596	0.21944	0.221816	0.228472	0.228924	0.226641	0.224198	0.226227	0.227366	0.229559	0.229923	0.227493	0.223292	0.223382	0.212607	0.203006	0.199615	0.197959	0.194895	0.192781	0.191137	0.18627	0.187281	0.189002	0.188805	0.183099	0.176742	0.174632	0.174831	0.175922	0.175122	0.17662	0.180111	0.186149	0.194898	0.204998	0.212906	0.217893	0.222173	0.226423	0.229598	0.231085	0.232895	0.233694	0.229299	0.222469	0.22122	0.222454	0.22203	0.218661	0.211145	0.206066	0.202677	0.202175	0.198246	0.196497	0.193355	0.189892	0.192513	0.194718	0.194613	0.197954	0.195779	0.194885	0.187843	0.192479	0.203118	0.213509	0.221772	0.23246	0.231316	0.235796	0.249096	0.253525	0.255818	0.274622	0.269631	0.286533	0.296977	0.292258	0.311061	0.315338	0.329909	0.311518	0.373449
8	0.208714	0.212040	0.167691	1.915350	0.172188	0.136354	-0.13743	-0.13743	-0.13743	-0.13743	-0.13743	-0.13743	-0.13743	-0.13777	-0.138082	-0.138305	-0.138376	-0.138633	-0.139399	0.00725903	0.116031	0.164526	0.181996	0.210396	0.221403	0.223726	0.227098	0.229452	0.229973	0.232548	0.235994	0.238625	0.242941	0.241942	0.241553	0.242936	0.2408	0.242889	0.241972	0.240277	0.235966	0.226852	0.216858	0.214133	0.212715	0.210173	0.20473	0.200456	0.199362	0.202032	0.200347	0.196322	0.191179	0.185406	0.184779	0.184332	0.183844	0.183735	0.185877	0.191704	0.197665	0.205548	0.215288	0.224242	0.230354	0.23546	0.239391	0.24027	0.242318	0.242832	0.245841	0.243701	0.235322	0.231068	0.227057	0.224495	0.22658	0.223792	0.215088	0.212486	0.2129	0.212099	0.210403	0.203567	0.198833	0.200394	0.197796	0.19908	0.199269	0.199292	0.202601	0.203868	0.204012	0.204213	0.214077	0.220811	0.237626	0.250103	0.252801	0.253068	0.262888	0.274718	0.257669	0.262626	0.277502	0.296271	0.308212	0.303915	0.321094	0.339146	0.373868	0.447735
9	0.218376	0.223071	0.180246	2.014992	0.132884	0.071103	-0.0264487	-0.0264487	-0.0264487	-0.0264487	-0.0264487	-0.0264487	-0.0264487	-0.026666	-0.0268821	-0.0270851	-0.0272627	-0.0274801	-0.0277969	0.0535008	0.115069	0.160491	0.193798	0.217618	0.230355	0.2336	0.235933	0.239916	0.241932	0.243099	0.248574	0.246543	0.245297	0.249595	0.251312	0.254027	0.26456	0.26512	0.256549	0.253111	0.244471	0.238458	0.234852	0.231291	0.228777	0.220914	0.215483	0.21799	0.215877	0.216151	0.21174	0.203932	0.19927	0.200511	0.199259	0.195302	0.194128	0.195536	0.197794	0.201418	0.207786	0.216593	0.225024	0.237166	0.244662	0.248724	0.253094	0.252199	0.250466	0.254827	0.257029	0.253693	0.244841	0.237812	0.234344	0.23154	0.228626	0.227061	0.223757	0.216024	0.213433	0.217346	0.219862	0.21296	0.207155	0.208603	0.210605	0.207771	0.207068	0.203792	0.198206	0.205449	0.215972	0.222932	0.237714	0.240443	0.241396	0.24021	0.243087	0.248074	0.268788	0.272404	0.283931	0.290006	0.274598	0.277981	0.295804	0.289064	0.279636	0.308859	0.36951	0.410465
10	0.225655	0.231375	0.184589	2.090002	0.103465	0.118440	-0.0769963	-0.0769963	-0.0769963	-0.0769963	-0.0769963	-0.0769963	-0.0769963	-0.07728	-0.077551	-0.0777743	-0.0779153	-0.0781625	-0.0786966	0.0316457	0.114773	0.177063	0.198986	0.222256	0.236785	0.241021	0.245875	0.249739	0.249156	0.249732	0.255748	0.258331	0.260458	0.258666	0.26271	0.270792	0.268558	0.26495	0.260589	0.255229	0.255564	0.249517	0.240673	0.243182	0.241166	0.236432	0.226957	0.225992	0.228667	0.227004	0.219956	0.214167	0.210875	0.207455	0.203619	0.20155	0.201608	0.201235	0.204051	0.210448	0.215378	0.222721	0.233928	0.244398	0.250676	0.254799	0.261248	0.264672	0.262242	0.263136	0.263095	0.261489	0.254042	0.245674	0.23982	0.237476	0.236638	0.237118	0.232873	0.228978	0.227602	0.224417	0.221284	0.221023	0.22076	0.222163	0.214568	0.214657	0.221757	0.211844	0.205896	0.206949	0.213539	0.22026	0.226596	0.243534	0.247903	0.255731	0.256693	0.264367	0.25649	0.238454	0.258936	0.275348	0.295023	0.318149	0.338831	0.31127	0.331742	0.333051	0.349735	0.373371
