380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730
"-0,0256286","-0,02589","-0,0261745","-0,0264828","-0,0267078","0,143845","0,192389","0,203608","0,200274","0,187349","0,191386","0,185322","0,172341","0,166555","0,166693","0,166577","0,155823","0,155836","0,163272","0,180739","0,191069","0,199686","0,199547","0,183877","0,170549","0,163584","0,159296","0,165928","0,168588","0,169318","0,192578","0,240362","0,263326","0,295317","0,355658","0,473306"
"-0,0326358","-0,0329093","-0,0332069","-0,0335293","-0,0337598","0,152127","0,195494","0,205153","0,198194","0,188346","0,190824","0,183236","0,175129","0,17017","0,170386","0,166971","0,159775","0,162752","0,167579","0,182013","0,197814","0,202644","0,198627","0,186221","0,170818","0,163733","0,151338","0,160419","0,170975","0,16521","0,190521","0,208351","0,250656","0,302296","0,363086","0,424534"
"-0,0329475","-0,033227","-0,0335312","-0,0338608","-0,0341026","0,146461","0,197049","0,206438","0,20509","0,19171","0,199493","0,197894","0,182998","0,181519","0,179895","0,175018","0,166867","0,16354","0,170337","0,187586","0,199743","0,205412","0,200627","0,189704","0,172859","0,161559","0,156225","0,171222","0,164295","0,167371","0,20026","0,234474","0,282258","0,321812","0,373963","0,483715"
"-0,00761909","-0,00787263","-0,00814857","-0,00844758","-0,00867133","0,14854","0,196225","0,211948","0,205131","0,202895","0,208807","0,19782","0,195436","0,194465","0,191897","0,184347","0,173402","0,171071","0,177787","0,193848","0,207406","0,21426","0,207438","0,195007","0,180221","0,169767","0,161756","0,17254","0,182425","0,186588","0,205694","0,252328","0,302241","0,34798","0,42426","0,507188"
"-0,075235","-0,0755818","-0,0759593","-0,0763683","-0,0766714","0,142006","0,198112","0,209683","0,206027","0,199638","0,204744","0,203923","0,195103","0,197368","0,197566","0,187476","0,180153","0,179773","0,188059","0,203816","0,210829","0,215771","0,207732","0,194889","0,176342","0,167247","0,161722","0,15973","0,166337","0,166433","0,197722","0,212619","0,250683","0,294836","0,368272","0,445237"
"-0,0501427","-0,0504672","-0,0508204","-0,0512031","-0,0514928","0,14401","0,203545","0,217673","0,213935","0,21093","0,218974","0,208764","0,206097","0,206717","0,210678","0,201686","0,192474","0,193963","0,200333","0,214039","0,222113","0,225398","0,213329","0,200896","0,179348","0,169304","0,16351","0,164862","0,169607","0,174086","0,183108","0,216887","0,268355","0,312386","0,355846","0,465905"
"-0,096027","-0,0964241","-0,0968563","-0,0973247","-0,0976772","0,144047","0,205113","0,218804","0,215859","0,215513","0,2206","0,222791","0,23161","0,226714","0,224076","0,21697","0,2081","0,206561","0,210729","0,225605","0,236384","0,235999","0,222096","0,203918","0,18685","0,174819","0,16717","0,168607","0,176107","0,168191","0,181208","0,213724","0,262158","0,344057","0,386811","0,455933"
"-0,0807026","-0,081095","-0,0815219","-0,0819846","-0,0823343","0,154547","0,210655","0,228284","0,228188","0,224305","0,23773","0,242143","0,244134","0,243613","0,245691","0,232972","0,223869","0,225659","0,229564","0,242046","0,248202","0,247223","0,233875","0,211994","0,193943","0,17545","0,165457","0,175992","0,180033","0,173387","0,190426","0,226639","0,269367","0,269379","0,371914","0,484922"
"-0,059606","-0,0599825","-0,0603921","-0,060836","-0,0611751","0,160779","0,215369","0,232038","0,234084","0,241305","0,254524","0,257783","0,25897","0,260687","0,259639","0,244694","0,235962","0,239807","0,243138","0,255351","0,259134","0,255703","0,240721","0,215846","0,20124","0,180514","0,171935","0,174402","0,186498","0,17192","0,201011","0,234342","0,293485","0,323971","0,372261","0,492925"
"0,0173701","0,0170829","0,0167703","0,0164315","0,0161667","0,177266","0,222497","0,235725","0,239202","0,246753","0,270052","0,281671","0,282368","0,279459","0,272412","0,261866","0,25327","0,253339","0,257873","0,265773","0,272288","0,268847","0,247982","0,226143","0,207466","0,190206","0,182333","0,186748","0,188318","0,191517","0,215643","0,254678","0,300412","0,364906","0,449886","0,49459"
"-0,0230488","-0,0234001","-0,0237823","-0,0241967","-0,0245279","0,160168","0,224564","0,241626","0,242533","0,254692","0,284768","0,288052","0,293662","0,291451","0,285029","0,274619","0,266296","0,266176","0,271808","0,279493","0,28347","0,278892","0,256999","0,22734","0,209346","0,190794","0,181285","0,180824","0,187675","0,183794","0,20816","0,24944","0,312541","0,34614","0,392399","0,507631"
"0,026797","0,0264986","0,026174","0,0258221","0,0255384","0,179328","0,23067","0,246586","0,249585","0,273202","0,300765","0,308576","0,310685","0,300716","0,298378","0,289234","0,279687","0,281114","0,283434","0,293221","0,296941","0,290858","0,263871","0,233078","0,21621","0,19779","0,188493","0,195878","0,195907","0,194301","0,217991","0,261567","0,324205","0,386284","0,466277","0,565079"
"-0,000560783","-0,000897279","-0,00126337","-0,00166024","-0,00198321","0,166391","0,224254","0,247806","0,250391","0,265976","0,294559","0,314139","0,317615","0,308655","0,301994","0,293944","0,286835","0,285073","0,287852","0,295267","0,298359","0,29048","0,267104","0,237805","0,216709","0,20131","0,184853","0,185868","0,195097","0,197231","0,224423","0,244183","0,298741","0,364112","0,482736","0,541063"
"0,0245153","0,0242046","0,0238666","0,0235001","0,0232096","0,191096","0,230936","0,250012","0,251907","0,281355","0,31641","0,323578","0,323502","0,317319","0,310682","0,301066","0,293735","0,291942","0,294868","0,301837","0,304166","0,295919","0,270637","0,238949","0,217442","0,195954","0,181465","0,186888","0,187442","0,196154","0,213412","0,256224","0,291132","0,349305","0,428565","0,511819"
"-0,0297896","-0,0301801","-0,030605","-0,0310655","-0,0314342","0,172976","0,234682","0,25481","0,258709","0,280166","0,315981","0,332555","0,333133","0,323919","0,317627","0,311407","0,298484","0,301518","0,304397","0,306526","0,310055","0,302114","0,27666","0,243402","0,221962","0,199702","0,184164","0,188561","0,202959","0,198735","0,211245","0,269373","0,309802","0,372845","0,464688","0,531445"
"0,0387033","0,0383995","0,038069","0,0377106","0,0374179","0,188318","0,238904","0,255345","0,260587","0,283172","0,325442","0,335905","0,338335","0,33104","0,322379","0,314319","0,30484","0,304566","0,310516","0,316504","0,31742","0,308886","0,279055","0,243364","0,223953","0,206794","0,194002","0,19077","0,205408","0,199835","0,220616","0,241878","0,296646","0,385089","0,430178","0,488744"
